sample_HFS308	sample_HFS309	sample_HFS310	sample_HFS311	sample_HFS312
LOC101555782	0	0	0	0	0
LOC101555784	0	0	0	0	0
LOC101555788	0	0	0	0	0
LOC101555790	113.676	92.3237	94.8774	123.987	82.6477
LOC101555797	0	0.124199	0.153788	0.55109	0.196351
LOC101555802	0	0.234319	0	0	0
LOC101555820	42.662	27.6758	49.0328	33.3791	37.2276
LOC101555821	6.0316	5.75757	5.91406	5.86915	5.61577
LOC101555851	0	0	0	0	0
LOC101555856	0	0	0	0	0
LOC101555862	0	0	0	0	0
LOC101555865	0	0	0	0	0
LOC101555874	0	0	0	0	0
LOC101555876	0	0	0	0	0
LOC101555885	20.0923	12.9377	17.9074	34.4159	16.8613
LOC101555886	0	0	0	0	0.0558173
LOC101555887	11.7478	17.7602	7.56433	11.9306	13.6523
LOC101555892	1.44851	0.603438	0.443997	0.638481	1.43429
LOC101555893	0	0	0	0	0
LOC101555898	0	1.66014	0.410782	1.74594	0.515316
LOC101555904	0	0	0	0	0
LOC101555906	0.278622	0.706956	0.575827	0	0
LOC101555907	0	0	0	0	0
LOC101555922	0	0	0	0	0
LOC101555937	0	0	0	0	0
LOC101555938	0	0	0	0	0
LOC101555942	3.27346	4.63225	3.55919	3.44727	5.25073
LOC101555946	0.564542	0	0	0	0
LOC101555949	83.4055	83.9559	104.094	126.761	85.7458
LOC101555962	0	0	0.0570551	0.155982	0.0712283
LOC101555963	6.91386	5.36928	6.16734	11.0996	13.0308
LOC101555964	0	0	0	0	0
LOC101555966	0	0	0	0	0
LOC101555978	0	0	0	0	0
LOC101555982	0	0	0	0	0
LOC101555984	234.892	222.798	235.37	237.259	226.829
LOC101555986	0	0	0	0	0
LOC101555991	0	0	0	0	0
LOC101556006	0	0	0	0	0
LOC101556012	3.23985	1.13469	1.58394	1.00648	0.672351
LOC101556023	0.400743	0.134225	0.658719	0.828254	0.422868
LOC101556029	0	0	0	0	0
LOC101556033	17.0121	21.0867	17.8651	18.5243	19.2718
LOC101556037	0	0	0	0	0
LOC101556041	0	0	2.45954	0.362204	0
LOC101556043	0	0	0	0	0
LOC101556047	2.53097	3.20788	5.66854	5.67633	4.46656
LOC101556048	3.24212	3.62005	4.28383	4.26955	2.23304
LOC101556050	0	0	0	0	0
LOC101556056	0	0	0	0	0
LOC101556060	0	0	0	0	0
LOC101556062	61.3831	66.8334	61.3654	54.8538	55.2332
LOC101556068	0	0	0	0	0
LOC101556070	0	0	0	0	0
LOC101556093	46.9188	45.1126	46.1216	44.6717	43.604
LOC101556106	0.280976	1.48848	1.34813	0.276639	0.802647
LOC101556111	0	0	0	0	0
LOC101556115	0	0	0	0	0
LOC101556118	0	0	0	0	0
LOC101556128	0	0	0	0	0
LOC101556131	0	0	0	0	0
LOC101556134	0.51539	0.740207	0.453669	0.543372	0.534243
LOC101556138	0	0	0.137611	0	0
LOC101556139	0	0	0	0	0
LOC101556144	0	0	0	0	0
LOC101556165	8.65815	4.27429	7.72408	4.89984	6.37499
LOC101556170	0	0	0	0.0143957	0.0258177
LOC101556172	0	0	0	0	0
LOC101556173	0	0	0	0	0
LOC101556179	1.15953	1.98483	0.822999	1.47987	1.47226
LOC101556190	0	0	0	0	0
LOC101556201	67.0735	61.6761	76.5867	124.923	66.0285
LOC101556208	0	0	0	0	0
LOC101556213	0.0624484	0.10473	0	0	0.0824164
LOC101556219	0	0	0	0	0
LOC101556221	0	0.477724	0.0584246	0.0840139	0.0751681
LOC101556222	17.9862	21.0569	26.4134	19.4002	15.7117
LOC101556224	0	0	0	0.153827	0.205864
LOC101556226	13.1389	15.7242	8.67203	12.4714	11.4447
LOC101556230	0	0	0	0	0.0686213
LOC101556232	0.331545	0	1.71547	1.94689	2.7963
LOC101556234	0	0	0	0	0
LOC101556236	0	0	0	0	0
LOC101556238	0	0	0	0	0
LOC101556240	29.3656	20.04	21.4069	26.3884	27.1263
LOC101556248	0	0	0	0	0
LOC101556252	0	0	0	0	0
LOC101556258	0	0	0	0.267751	0
LOC101556259	54.3437	46.1857	55.4353	47.1034	54.7043
LOC101556261	0	0	0	0	0
LOC101556280	0	0	0	0	0
LOC101556304	0.226098	0.0944149	0	0	0
LOC101556305	0	0	0	0	0
LOC101556322	0	0	0	0	0
LOC101556328	0	0	0	0	0
LOC101556330	0.741291	0	0.191471	0.546826	0.487176
LOC101556338	0	0	0	0	0
LOC101556347	0	0	0	0	0
LOC101556348	0	0.172949	0	0	0
LOC101556349	0	0	0	0	0
LOC101556356	0.0532147	0.0446552	0.655011	0.0392501	0.0702507
LOC101556369	91.9009	96.9126	98.4308	125.308	109.803
LOC101556387	1415.66	956.88	1427.76	2344.39	1625.42
LOC101556391	0	0	0	0	0
LOC101556394	0.0688269	0	0	0.0507878	0
LOC101556395	0	0	0	0	0
LOC101556405	0	0	0	0	0
LOC101556408	0	0	0	0	0
LOC101556410	2.4412	2.23647	1.80218	1.63284	0.956044
LOC101556417	0	0	0	0	0
LOC101556424	2.94532	4.65669	3.19605	3.05003	3.92519
LOC101556436	114.862	176.258	169.307	187.315	169.168
LOC101556441	0.059181	0.0496382	0	0	0
LOC101556442	0.409947	1.71464	0	1.20293	2.13112
LOC101556447	0	0.0199821	0	0.0525229	0.0156954
LOC101556448	0	0	0	0	0
LOC101556449	0	0	0	0	0
LOC101556453	0	0	0	0	0
LOC101556455	2.35416	2.57242	1.74102	2.66526	1.87905
LOC101556458	9.94227	9.27701	10.7152	8.79376	8.41969
LOC101556491	0	0	0	0	0
LOC101556498	0	0.0867436	0	0	0
LOC101556500	4.99912	6.71697	5.72305	4.7287	5.28626
LOC101556506	1.44012	0.854534	2.50062	4.77894	4.06486
LOC101556508	0	0	0	0	0
LOC101556510	0	0	0	0	0
LOC101556511	0	0	0	0	0
LOC101556512	0	0	0	0	0
LOC101556515	110.739	121.391	123.141	109.159	102.575
LOC101556518	12.0563	14.9264	9.53562	10.17	17.1145
LOC101556519	0	0	0	0	0
LOC101556523	0	0	0	0	0
LOC101556544	7.38205	9.20226	7.51482	6.18389	8.03114
LOC101556546	0	0	0	0	0.109743
LOC101556553	0.184588	0.84929	0.379537	0	0.304225
LOC101556556	0	0	0	0	0
LOC101556579	0	0	0	0	0
LOC101556580	0.411462	0.341814	0	0	0
LOC101556585	0.124126	0	0.255692	0.458682	0.163496
LOC101556588	0	0	0	0	0
LOC101556591	13.01456	11.63922	10.4380731619	8.261542	11.029617
LOC101556600	0	0	0	0	0
LOC101556605	0	0	0	0	0
LOC101556606	0	0	0	0	0
LOC101556609	0	2.42727	0	0.33136	0
LOC101556626	0.126607	0.211249	1.17378	0.28073	1.58413
LOC101556650	1.33397	1.04123	1.04122	0.772605	0.587408
LOC101556651	313.021	439.474	483.239	330.51	377.518
LOC101556661	0	0	0	0	0
LOC101556664	0	0	0	0	0
LOC101556674	0	0	0	0	0
LOC101556680	0	0	0	0	0
LOC101556685	49.8604	51.0597	59.9108	56.612	53.1061
LOC101556699	0	0	0	0.159073	0
LOC101556700	11.012	14.0741	12.0115	13.0362	7.12429
LOC101556701	0	0	0	0	0
LOC101556715	0.965603	1.12749	2.05776	1.20525	1.08076
LOC101556716	0	0	0	0	0
LOC101556718	298.087	367.67	352.703	341.847	327.644
LOC101556723	5.95843	6.18178	7.42907	6.17677	5.89615
LOC101556731	0	0	0	0	0
LOC101556738	5.18364	3.44838	2.17165	2.19959	8.68716
LOC101556739	0	0	0	0	0
LOC101556749	334.981	130.033	178.711	580.201	370.711
LOC101556757	0	0	0	0	0
LOC101556761	1243.03	1185.25	1434.4	1148.13	1172.68
LOC101556764	0	0	0	0	0
LOC101556766	5.76415	3.93813	3.35183	4.47707	4.08548
LOC101556769	0.133547	0.11133	0.688054	0.888171	1.670433
LOC101556774	0	0	0	0	0
LOC101556776	207.137	244.064	197.179	240.866	269.174
LOC101556782	0	0	0	0	0
LOC101556784	0	0	0	0	0
LOC101556791	139.611	144.509	143.928	152.791	144.605
LOC101556805	32.0135	40.7507	39.1273	37.5498	41.4169
LOC101556807	0	0	0	0	0
LOC101556814	0	0	0	0.0999344	0
LOC101556818	2.11769	1.76885	1.37656	3.54081	2.7905
LOC101556819	0	0	0	0	0
LOC101556830	0	0	0	0	0
LOC101556832	17.9758	21.5811	20.0845	20.2647	21.73
LOC101556836	0	0	0.12115	0	0
LOC101556850	0	0	0	0	0
LOC101556855	0	0	0	0	0
LOC101556861	0	0	0	0	0
LOC101556862	0	0	0.0433361	0.031172	0
LOC101556863	0	0	0	0	0
LOC101556864	2.89507	1.59984	3.2455	2.48311	3.94536
LOC101556870	0	0	0	0	0
LOC101556892	0	0	0	0	0.199966
LOC101556900	0.0626957	0.578286	0	0	0
LOC101556926	0	0.136747	0	0	0.215422
LOC101556929	0	0	0	0	0
LOC101556930	0	0	0	0	0
LOC101556935	84.1558	106.689	92.6922	96.0228	96.1573
LOC101556936	0	0	0	0	0
LOC101556950	0	0	0	0	0
LOC101556953	0	0	0	0	0
LOC101556957	1.66463	3.94491	1.23093	0.874164	2.4903
LOC101556968	0.0609386	0.0512711	0	0.104779	0.0939529
LOC101556979	0.144236	0.483416	0.592443	0.106443	0.190298
LOC101556981	0.0724481	0	0	0	0
LOC101556984	61.6949	79.9851	62.7234	69.977	72.5323
LOC101556985	0	0	0	0	0
LOC101556996	0	0	0	0	0
LOC101557006	1073.51	963.891	1048.69	927.23	952.204
LOC101557012	0	0	0	0	0
LOC101557025	0	0	0	0	0
LOC101557030	0	0	0	0	0
LOC101557032	4.05795	2.95714	4.98396	4.72592	3.84155
LOC101557040	0	0	0	0	0
LOC101557042	0	0	0	0	0
LOC101557043	0	0	0	0	0
LOC101557048	0.0418871	0.151972	0	0.0296196	0.313945
LOC101557049	0	0	0	0	0
LOC101557051	0	0	0	0	0
LOC101557053	0	0	0	0	0
LOC101557064	0.113862	0.190175	0	0.588885	0.225038
LOC101557070	0	0	0	0	0
LOC101557078	0	0	0	0	0
LOC101557082	0.568359	0.71048	0.884873	0.209176	0.371496
LOC101557084	0	0	0	0	0
LOC101557093	276.8	245.886	250.348	244.15	269.402
LOC101557097	0	0	0	0	0
LOC101557098	0	0	0	0	0
LOC101557103	0	0	0	0	0
LOC101557107	69.0412	52.2306	74.8326	73.8317	48.2695
LOC101557117	0	0	0	0	0
LOC101557123	0	0	0	0	0
LOC101557124	0	0	0	0	0
LOC101557130	0	0	0	0	0
LOC101557133	0	0	0	0	0
LOC101557140	0	0	0	0	0
LOC101557143	16.1393	22.7153	22.2653	16.9036	16.3266
LOC101557144	30.9164	35.1917	31.7284	31.7861	37.2384
LOC101557145	0	0.218359	0	0	0
LOC101557161	18.5887	27.0895	23.3941	24.0156	22.3321
LOC101557165	0	0.270792	0.222339	0.239426	0.142375
LOC101557181	2.63448	2.977035	3.11654	2.33497044	1.49155
LOC101557204	0	0	0	0	0
LOC101557206	0	0	0	0	0
LOC101557211	0	0	0	0	0
LOC101557217	1.58981	0.664056	0.410782	2.08515	0
LOC101557228	0	0	0	0	0
LOC101557236	0	0.0516557	0	0	0.0812965
LOC101557242	0	0	0	0.101077	0
LOC101557245	0	0	0	0	0
LOC101557248	0	0.887356	0.630654	0.749463	1.0675
LOC101557255	3.84856	2.49445	6.11449	10.0746	5.84392
LOC101557258	0	0	0	0	0
LOC101557262	0	0	0	0	0
LOC101557263	0.831153	1.32915	0.853649	0.501897	1.04662
LOC101557270	0	0.401362	0	0	0
LOC101557275	0	0	0	0	0
LOC101557292	0	0	0	0	0
LOC101557294	129.875	137.16	147.184	146.322	138.655
LOC101557295	5.3471	6.10174	3.30742	3.83654	3.91957
LOC101557312	5.7206	5.95599	5.61567	6.4456	6.38456
LOC101557321	266.223	276.062	305.733	283.715	338.112
LOC101557322	0.136067	0.0569562	0.051175	0.150693	0
LOC101557323	0	0	0	0	0
LOC101557328	0.29221	0.244348	0.221163	0.291705	0
LOC101557330	0	0	0	0	0
LOC101557335	0.140028	0.116648	0	0	0
LOC101557343	649.52	641.775	743.868	706.843	577.979
LOC101557352	0	0	0	0	0
LOC101557356	13.0139	22.7436	19.3815	12.3911	16.1551
LOC101557357	0	0	0	0	0
LOC101557358	0	0.350333	0.21833	0	0
LOC101557364	0	0	0	0	0
LOC101557367	0.263757	0.109954	0.135879	0.29245662	0.26060529
LOC101557368	100.132	133.656	84.1916	135.51	137.77
LOC101557371	140.113	175.788	178.087	176.459	144.512
LOC101557374	0	0	0	0	0
LOC101557377	0	0	0	0	0
LOC101557383	0	0	0	0	0
LOC101557384	0	0	0	0	0.445743
LOC101557385	0.71205	0.710532	0	0.262455	0.116927
LOC101557395	0	0	0	0	0
LOC101557401	0	0	0	0	0
LOC101557402	0	0	0	0	0
LOC101557417	0	0	0	0	0
LOC101557422	0	0	0	0	0
LOC101557451	1.63604	2.26235	1.2621	1.56901	1.42152
LOC101557456	0.320839	0.400347	2.15012	0.473471	1.47675
LOC101557460	0	0	0	0	0
LOC101557474	0.0942371	0.237353	0.241571	0.104243	0.279967
LOC101557485	0	0	0	0	0
LOC101557490	0.151314	0.125945	0.468031	0.447121	0.497781
LOC101557491	0	0.232688	0	0	0
LOC101557492	32.0601	17.0018	30.821	77.2733	51.7238
LOC101557494	11.9027	2.59252	7.10806	14.2906	9.70427
LOC101557500	0	0	0	0	0
LOC101557503	0	0	0	0	0
LOC101557519	2.03338	8.61206	27.5386	3.29764	4.80374
LOC101557524	0	0	0	0	0
LOC101557527	2.194	2.67153	2.09165	1.37272	2.32877
LOC101557533	0	0	0	0	0
LOC101557545	0	0	0	0	0
LOC101557547	101.9126	104.6848	92.5983	118.0774	106.4813
LOC101557553	2.14793	2.92686	2.55997	2.75629	3.05364
LOC101557564	64.2473	105.9	61.7866	67.0375	76.9689
LOC101557570	0	0.242257	0.593801	0.266715	0.143048
LOC101557587	0	0	0	0	0
LOC101557588	0	0	0	0	0
LOC101557591	0	0	0	0	0
LOC101557592	0	0	0	0	0
LOC101557599	0	0	0	0	0
LOC101557600	0	0	0	0	0
LOC101557604	0	0	0	0	0
LOC101557617	30.5519	41.6262	35.5845	31.4768	35.0182
LOC101557622	15.0712	18.3475	12.7219	12.3291	12.7529
LOC101557626	0	0	0	0	0
LOC101557636	0	0	0	0	0
LOC101557637	54.3102	51.6203	40.2465	45.2515	45.6449
LOC101557648	0	0	0	0	0
LOC101557655	0	0	0	0	0
LOC101557667	0	0	0	0	0
LOC101557671	4.32164	3.02311	2.16451	3.45221	2.92379
LOC101557672	0	0	0	0	0
LOC101557678	0	0	0	0	0
LOC101557681	0	0	0	0	0
LOC101557688	0	0	0	0	0
LOC101557695	0.0433667	0	0	0	0.171568
LOC101557697	0	0.493003	0.24321	0.174548	0.155599
LOC101557699	0.176086	0	0	0.126467	0.115682
LOC101557705	0	0	0	0	0
LOC101557710	0	0	0	0	0
LOC101557711	0	0	0	0	0
LOC101557715	0.637343	0.443815	0.983643	0.706196	0.769974
LOC101557723	0	0	0	1.02368	0.460419
LOC101557730	33.2256	61.3877	31.0168	36.1925	44.2623
LOC101557744	0	0	0	0	0
LOC101557756	0	0	0	0	0
LOC101557762	0	0.134571	0.500442	0.195381	0.361928
LOC101557773	877.746	866.131	385.85	723.855	361.705
LOC101557775	0	0	0	0	0
LOC101557792	4.41981	3.16832	11.0032	6.96045	3.29527
LOC101557798	2.56671	1.73484	1.98473	1.53878	1.1603
LOC101557800	0	0	0	0	0
LOC101557801	0.40714	1.43361	1.45304	1.60559	2.3369
LOC101557802	0	0	0	0	0
LOC101557804	0	0	0	0	0
LOC101557813	0	0	0	0	0
LOC101557817	0	0	0	0	0
LOC101557827	3.28591	3.93458	13.5261	4.12672	3.24759
LOC101557830	0	0	0	0	0
LOC101557835	0	0	0	0	0
LOC101557839	12.4314	12.8989	13.6606	10.8214	13.6993
LOC101557849	0	0	0	0	0
LOC101557855	0	0	0	0	0
LOC101557859	0	0	0	0	0
LOC101557866	0	0	0	0	0
LOC101557868	0	0	0	0	0
LOC101557871	0.105166	0	0	0	0
LOC101557873	0	0.2878	0.282033	0	0.226549
LOC101557879	14.6164	12.1963	10.546	8.40172	13.0128
LOC101557888	0.130789	0	0	0	0
LOC101557890	168.736	168.846	198.479	193.718	131.973
LOC101557893	0	0	0	0	0
LOC101557896	0.34137	0.284299	0.705408	0	1.3259
LOC101557897	4.22642	3.12466	3.06546	5.65986	1.13213
LOC101557902	0	0	0	0	0
LOC101557912	0	0	0	0	0
LOC101557918	0	0	0	0	0
LOC101557924	0	0	0	0	0
LOC101557925	11.6873	15.5511	12.4881	15.0851	13.3471
LOC101557926	1.73439	0.361817	0.4478	0.632386	1.68881
LOC101557933	0	0	0	0	0
LOC101557934	0.121274	0.101218	0	0	0
LOC101557937	0	0	0	0	0
LOC101557941	0	0	0	0	0.150113
LOC101557943	3.20738	11.4952	8.38819	6.38467	7.2868
LOC101557946	0	0	0	0	0
LOC101557952	6.92023	9.71762	10.1767	9.06973	8.24245
LOC101557953	0	0	0	0	0
LOC101557956	99.9183	118.241	83.9743	108.359	89.8363
LOC101557970	0	0	0	0	0
LOC101557975	0	0	0	0	0
LOC101557980	0.366629	0.101992	0	0.451578	0.160982
LOC101558010	0	0	0	0	0
LOC101558013	0	0	0	0	0
LOC101558023	0	0	0	0	0
LOC101558028	0	0.185547	5.09381	4.1132	1.76015
LOC101558029	0.207122	0.173112	0.745761	0.0764933	0.204746
LOC101558032	0	0.454074	0	3.15247	1.40241
LOC101558039	0	0	0	0	0
LOC101558041	0	0	0	0	0
LOC101558048	2.09232	1.75671	1.62092	2.26301	2.57855
LOC101558055	1.40936	0.631071	1.68596	1.69758	1.14757
LOC101558058	0	0	0	0.136454	0.364712
LOC101558072	0	0	0	0	0
LOC101558095	78.9559	74.5631	96.7595	115.324	100.534
LOC101558101	5.83148	6.79904	14.4226	4.09242	3.26184
LOC101558104	0	0	0	0	0
LOC101558112	0.187873	0	0.289746	0.138731	0.123849
LOC101558123	0	0	0	0	0
LOC101558126	1.24924	2.3935	2.52656	2.96812	2.37878
LOC101558130	0	0	0	0	0
LOC101558133	0	0	0	0	0
LOC101558134	0	0	0	0	0
LOC101558137	0.250287	0	0.449519	0.507803	0
LOC101558138	0.129772	0.145313	0.0886896	0.09569	0.0856851
LOC101558140	0	0.726393	1.90589	2.5287	0.190854
LOC101558142	0	0	0	0	0
LOC101558145	0	0	0	0	0
LOC101558147	0	0	0.340516	0.229846	0.101874
LOC101558149	0	0.915017	0	0.323664	0.216506
LOC101558164	0	0	0	0	0
LOC101558170	0	0	0	0	0
LOC101558179	0	0	0	0	0
LOC101558188	0	0	0	0	0
LOC101558193	48.2246	66.8964	50.5787	45.7505	50.0144
LOC101558194	0	0	0	0	0
LOC101558200	0	0	0	0	0
LOC101558207	0	0	0	0	0
LOC101558211	0	0	0	0	0
LOC101558214	0	0	0	0	0
LOC101558216	6.22094	13.0084	9.77112	14.5741	9.27563
LOC101558217	0	0	0	0	0
LOC101558218	23.4195	32.6578	44.9034	19.7325	22.6737
LOC101558226	1.08536	0.908149	0.561799	1.9703	1.05181
LOC101558227	0	0	0	0	0
LOC101558232	0	0	0	0	0
LOC101558240	0	0	0	0.312876	0
LOC101558245	0	0	0	0	0.0937489
LOC101558246	0	0	0	0	0
LOC101558266	18.9158	24.179	19.0569	10.6352	15.0497
LOC101558267	15.5512	13.9093	11.0263	14.4088	12.7898
LOC101558270	5.07758	8.97974	16.9047	4.46737	6.06566
LOC101558281	0	0	0	0	0
LOC101558283	0	0	0	0	0
LOC101558292	0	0	0	0	0
LOC101558298	1.4296	0.343781	0	1.04494	0
LOC101558299	0	0	0	0	0
LOC101558304	0	0	0	0	0
LOC101558308	0	0	0	0	0
LOC101558332	2.44036	1.82809	0.868411	1.82257	0.0471658
LOC101558355	0	0	0	0	0
LOC101558357	23.2796	19.3071	18.6617	22.4979	14.3481
LOC101558362	17.9991	21.6733	17.3718	19.3694	19.562
LOC101558373	0	0	0	0	0
LOC101558390	0	0	0	0	0
LOC101558395	0	0	0	0	0.120869
LOC101558399	0.812451	1.76865	1.5888	1.91911	1.23377
LOC101558402	0	0	0	0	0
LOC101558405	0	0	0	0	0
LOC101558408	150.188	110.965	145.263	147.382	150.918
LOC101558409	0	0.789027	0	0.0999344	0.26709
LOC101558411	0	0	0	0	0
LOC101558413	0.810232	1.72467	2.72409	2.45846	0.74029
LOC101558416	0	0	0	0	0
LOC101558417	31.7372	28.8808	30.7849	35.4114	27.0888
LOC101558420	0	0	0	0	0
LOC101558424	8.09301	6.11739	11.8221	8.36	6.80397
LOC101558438	0	0	0	0	0
LOC101558449	81.2337	85.1449	77.7512	68.4431	73.0112
LOC101558452	1.18066	0.986374	0.813061	1.1529	0
LOC101558454	0	0	0	0	0
LOC101558467	0	0	0	0	0
LOC101558473	0	0	0	0	0
LOC101558476	0	0	0	0.222665	0
LOC101558477	0	0	0	0	0
LOC101558479	131.638	124.255	110.494	112.37	109.362
LOC101558493	0	0	0	0	0
LOC101558495	10.4288	7.14436	27.695	22.5107	16.0468
LOC101558497	0.0433667	0	0	0	0.171568
LOC101558505	0	0	0	0	0
LOC101558509	0	0	0	0	0
LOC101558514	0	0.0911891	0	0.0806364	0.143842
LOC101558522	2.2911	1.66955	2.95056	3.17289	1.13052
LOC101558535	18.0929	19.2306	16.1452	17.6323	15.9051
LOC101558536	17.9769	26.9432	19.4027	21.8308	22.4265
LOC101558547	0	0	0	0	0
LOC101558549	0	0	0	0.240347	0
LOC101558559	0	0	0	0	0
LOC101558566	0	0	0	0	0
LOC101558567	2.34648	0	0	0	0
LOC101558568	0	0	0	0	0
LOC101558576	0	0	0	0	0
LOC101558580	0	0	0	0	0
LOC101558597	268.108	307.897	262.096	227.915	181.235
LOC101558604	90.2723	117.909	89.7785	86.4877	103.311
LOC101558612	27.3935	29.5953	27.7242	30.1504	28.2335
LOC101558620	252.493	284.277	325.42	219.267	220.751
LOC101558621	0	0	0	0	0
LOC101558625	0	0	0	0	0
LOC101558626	3.06278	1.59081	3.75981	2.118	3.52071
LOC101558636	0	0	0.116362	0	0
LOC101558642	0	0	0	0	0
LOC101558647	0.266638	0.111943	0	0	0.0878097
LOC101558657	0.890062	0.177633	0.735214	0.656137	0.6431
LOC101558658	0	0	0	0	0
LOC101558661	10.2853	7.48186	11.1912	7.81668	11.0393
LOC101558665	0	0	0	0	0.286097
LOC101558667	0	0.198838	0.325225	0.350521	0.313198
LOC101558668	0	0	0	0	0.299811
LOC101558679	0	0	0	0	0
LOC101558684	0	0	0	0	0
LOC101558689	0.104472	0	0	0	0.137694
LOC101558703	0	0	0	0	0
LOC101558706	0	0	0	0	0
LOC101558707	0	0	0	0	0
LOC101558713	0	0	0	0	0
LOC101558721	0	0	0	0	0
LOC101558722	0.481098	1.85074	0.39577	1.27901	0.761102
LOC101558734	12.1578	13.9998	15.2168	12.6229	11.4027
LOC101558739	0	0	0	0	0
LOC101558743	0	0	0	0	0
LOC101558748	0	0	0	0	0
LOC101558750	2.24144	2.24265	1.39022	5.55722	1.74261
LOC101558753	0.196084	0.0819494	0.806321	0.217253	0
LOC101558766	0	0	0	0	0
LOC101558774	0.355596	0.265953	0.384266	0.145574	0.261074
LOC101558779	42.8063	54.2272	54.8614	58.0737	51.7347
LOC101558780	0	0	0	0	0
LOC101558784	0	0	0	0	0
LOC101558791	1.55322	2.65552	3.49409	3.83414	2.4837
LOC101558795	0.200239	0	0	0	0.26246
LOC101558799	0	0	0	0	0
LOC101558802	64.5526	106.102	66.4349	60.0514	66.7774
LOC101558806	0.0260649	0.0767993	0.240062	0.0576094	0.0516795
LOC101558818	0	0	0	0	0
LOC101558821	1426.05	1239.31	1520.37	1364.51	1234.95
LOC101558832	0	0	0	0	0
LOC101558837	0	0	0	0	0
LOC101558839	0	0	0	0.10672	0
LOC101558849	0	0	0	0	0
LOC101558890	0	0	0	0	0
LOC101558906	0	0	0	0	0
LOC101558910	1.73301	2.73798	3.03994	3.06725	4.44114
LOC101558913	0	0	0	0	0
LOC101558929	0	0	0	0	0
LOC101558935	0	0	0	0	0
LOC101558944	0	0	0	0	0
LOC101558945	0	0	0	0	0
LOC101558949	0	0	0	0	0
LOC101558961	0	0.255456	0.791329	0	1.31283
LOC101558980	0	0	0	0	0
LOC101558981	0	0	0	0	0
LOC101558988	0	0	0	0	0
LOC101558993	590.38927	511.875	559.06465	502.539	470.387
LOC101558995	0	0	0	0	0
LOC101559014	0	0	0	0	0
LOC101559019	0	0	0	0	0
LOC101559021	2.82372	0.955941	3.15802	7.5734	5.30316
LOC101559022	0	0	0	0	0
LOC101559024	0	0	0	0	0
LOC101559027	0	0	0	0	0
LOC101559032	0	0.672308	0.149824	0.0538356	0
LOC101559036	12.2616	18.0604	11.7507	11.1071	10.1281
LOC101559037	1.59762	12.4929	18.4255	6.38001	3.88596
LOC101559040	0	0	0	0	0
LOC101559042	0	0	0	0	0
LOC101559048	0	0	0	0	0
LOC101559051	0	0	0	0	0
LOC101559053	0.233602	1.17024	2.64551	1.20828	1.23107
LOC101559056	0.10953	0.366007	0	0.647329	0.288675
LOC101559064	9.81413	7.543223	7.749969	8.75452475982	8.79805
LOC101559090	93.0032	123.599	58.4847	93.4792	107.375
LOC101559099	0	0	0	0	0
LOC101559105	0	0	1.38316	0	1.52522
LOC101559106	0	0	0	0	0
LOC101559109	9.33084	3.90562	10.1869	10.785105	9.342874
LOC101559112	10.6836	4.23085	6.78676	6.60667	4.60995
LOC101559116	0	0	0	0	0
LOC101559124	2.37935	1.2536	1.76745	1.03148	2.25797
LOC101559127	13.8405	21.1055	15.0765	11.4705	15.1897
LOC101559129	4.7821	3.51479	2.31912	3.42801	3.05427
LOC101559142	0.09957	0	0	0	0
LOC101559145	0	0.15383	0	0	0
LOC101559161	0	0	0	0	0
LOC101559170	0	0	0.223105	0.0800826	0.0714302
LOC101559177	0	0	0	0	0
LOC101559191	0	0	0	0	0.6431
LOC101559192	0	0	0	0	0
LOC101559195	9.7817	6.64878	5.06853	7.5913	7.16709
LOC101559202	0	0	0	0	0
LOC101559205	0	0	0	0	0
LOC101559206	0	0	0	0	0
LOC101559207	6.3118	8.03894	6.99005	4.73295	5.24855
LOC101559211	0	0	0	0	0
LOC101559220	0	0	0	0	0
LOC101559223	0	0	0	0.161832	0
LOC101559235	63.12	60.8407	67.9725	66.6515	67.2239
LOC101559243	0	0	0	0	0
LOC101559244	0	0	0	0	0
LOC101559249	0	0	0	0	0
LOC101559258	0	0.0593313	0.0723449	0.0780735	0
LOC101559260	0	0	0	0	0
LOC101559263	49.0716	55.8426	50.3141	54.9647	56.6667
LOC101559271	0	0	0	0.179243	0.479261
LOC101559273	3.04219	0.213463	0.634078	1.79581	1.52347
LOC101559277	0	0	0	0	0
LOC101559283	0	0	0	0	0
LOC101559285	8.92846	11.1564	9.2225	11.0649	11.997
LOC101559289	0	0	0	0	0
LOC101559292	0	0	0	0	0
LOC101559297	2.12674	2.52802	5.35399	6.02648	2.37464
LOC101559302	1.1175	2.39013	0.164554	1.41324	1.05028
LOC101559304	0	0	0	0	0
LOC101559314	0	0	0	0	0
LOC101559315	0	0.148363	0.0604982	0	0
LOC101559317	0	0.129562	0.802861	0.919688	0.204856
LOC101559327	125.06	68.2645	115.31	121.683	122.85
LOC101559334	0	0	0	0	0
LOC101559335	0	0	0	0	0
LOC101559342	0	0	0	0	0
LOC101559344	0	0	0	0	0.303191
LOC101559350	5.13986	9.15866	7.61984	7.65262	5.85801
LOC101559359	28.2047	32.632	31.0071	27.8616	25.758
LOC101559360	6.6777592	4.8140785	7.000318	5.642182	5.94844
LOC101559361	39.3661	40.6348	35.1936	52.4845	35.9365
LOC101559366	0	0	0	0	0
LOC101559373	2.05396	1.55214	3.08632	1.49233	0.736327
LOC101559374	0	0	0	0	0
